Designator,Mid X,Mid Y,Rotation,Layer
D1,-69.8,28.6131,-90,bottom
D2,-50.7,28.7,-90,bottom
D3,-31.7,28.6131,-90,bottom
D4,-12.7,28.6131,-90,bottom
D5,-69.8,9.5,-90,bottom
D6,-50.7,9.4,-90,bottom
D7,-31.8,9.5631,-90,bottom
D8,-12.7,9.4869,-90,bottom
J1,-41.1,36.9,-90,bottom
J2,-41.1,1.2,-90,bottom
J3,-74.9,13.9,0,bottom
J4,-37.04,27.865,0,bottom
C1,-70.2,33.925,90,top
C2,-51.1,33.9,90,top
C3,-63.3,17.78,-90,top
C4,-44.2,17.8,-90,top
LED1,-66.675,34.7,90,top
LED2,-47.6,34.7,90,top
LED3,-66.65,15.7,-90,top
LED4,-47.6,15.8,-90,top
SW1,-66.675,28.575,180,bottom
SW2,-47.625,28.575,180,bottom
SW3,-28.575,28.575,180,bottom
SW4,-9.525,28.575,180,bottom
SW5,-66.675,9.525,180,bottom
SW6,-47.625,9.525,180,bottom
SW7,-28.635,9.525,180,bottom
SW8,-9.525,9.525,180,bottom
